date	close	index
1-May-12	582.13	2
30-Apr-12	583.98	2
27-Apr-12	603.0	1
26-Apr-12	607.7	2
25-Apr-12	610.0	2
24-Apr-12	560.28	2
23-Apr-12	571.7	3
20-Apr-12	572.98	3
19-Apr-12	587.44	3
18-Apr-12	608.34	1
17-Apr-12	609.7	1
16-Apr-12	580.13	3
13-Apr-12	605.23	3
12-Apr-12	622.77	2
11-Apr-12	626.2	2
10-Apr-12	628.44	3
9-Apr-12	636.23	2
5-Apr-12	633.68	3
4-Apr-12	624.31	1
3-Apr-12	629.32	2
2-Apr-12	618.63	2
30-Mar-12	599.55	2
29-Mar-12	609.86	3
28-Mar-12	617.62	3
27-Mar-12	614.48	2
26-Mar-12	606.98	1
23-Mar-12	596.05	3
22-Mar-12	599.34	1
21-Mar-12	602.5	1
20-Mar-12	605.96	1
19-Mar-12	601.1	3
16-Mar-12	585.57	3
15-Mar-12	585.56	1
14-Mar-12	589.58	1
13-Mar-12	568.1	1
12-Mar-12	552.0	3
9-Mar-12	545.17	2
8-Mar-12	541.99	1
7-Mar-12	530.69	2
6-Mar-12	530.26	3
5-Mar-12	533.16	3
2-Mar-12	545.18	2
1-Mar-12	544.47	2
29-Feb-12	542.44	1
28-Feb-12	535.41	1
27-Feb-12	525.76	2
24-Feb-12	522.41	1
23-Feb-12	516.39	3
22-Feb-12	513.04	1
21-Feb-12	514.85	3
17-Feb-12	502.12	2
16-Feb-12	502.21	3
15-Feb-12	497.67	3
14-Feb-12	509.46	2
13-Feb-12	502.6	1
10-Feb-12	493.42	2
9-Feb-12	493.17	2
8-Feb-12	476.68	2
7-Feb-12	468.83	2
6-Feb-12	463.97	3
3-Feb-12	459.68	1
2-Feb-12	455.12	1
1-Feb-12	456.19	3
31-Jan-12	456.48	3
30-Jan-12	453.01	1
27-Jan-12	447.28	2
26-Jan-12	444.63	1
25-Jan-12	446.66	2
24-Jan-12	420.41	3
23-Jan-12	427.41	3
20-Jan-12	420.3	2
19-Jan-12	427.75	2
18-Jan-12	429.11	1
17-Jan-12	424.7	1
13-Jan-12	419.81	3
12-Jan-12	421.39	1
11-Jan-12	422.55	2
10-Jan-12	423.24	2
9-Jan-12	421.73	1
6-Jan-12	422.4	1
5-Jan-12	418.03	2
4-Jan-12	413.44	3
3-Jan-12	411.23	2
30-Dec-11	405.0	1
29-Dec-11	405.12	2
28-Dec-11	402.64	2
27-Dec-11	406.53	1
23-Dec-11	403.43	2
22-Dec-11	398.55	1
21-Dec-11	396.44	2
20-Dec-11	395.95	2
19-Dec-11	382.21	2
16-Dec-11	381.02	1
15-Dec-11	378.94	3
14-Dec-11	380.19	2
13-Dec-11	388.81	3
12-Dec-11	391.84	3
9-Dec-11	393.62	3
8-Dec-11	390.66	2
7-Dec-11	389.09	2
6-Dec-11	390.95	1
5-Dec-11	393.01	3
2-Dec-11	389.7	2
1-Dec-11	387.93	2
30-Nov-11	382.2	1
29-Nov-11	373.2	2
28-Nov-11	376.12	1
25-Nov-11	363.57	2
23-Nov-11	366.99	1
22-Nov-11	376.51	3
21-Nov-11	369.01	3
18-Nov-11	374.94	1
17-Nov-11	377.41	3
16-Nov-11	384.77	1
15-Nov-11	388.83	3
14-Nov-11	379.26	1
11-Nov-11	384.62	3
10-Nov-11	385.22	3
9-Nov-11	395.28	3
8-Nov-11	406.23	1
7-Nov-11	399.73	3
4-Nov-11	400.24	2
3-Nov-11	403.07	3
2-Nov-11	397.41	1
1-Nov-11	396.51	3
31-Oct-11	404.78	2
28-Oct-11	404.95	3
27-Oct-11	404.69	1
26-Oct-11	400.6	3
25-Oct-11	397.77	3
24-Oct-11	405.77	3
21-Oct-11	392.87	2
20-Oct-11	395.31	1
19-Oct-11	398.62	2
18-Oct-11	422.24	1
17-Oct-11	419.99	1
14-Oct-11	422.0	3
13-Oct-11	408.43	1
12-Oct-11	402.19	2
11-Oct-11	400.29	1
10-Oct-11	388.81	2
7-Oct-11	369.8	1
6-Oct-11	377.37	2
5-Oct-11	378.25	3
4-Oct-11	372.5	2
3-Oct-11	374.6	3
30-Sep-11	381.32	1
29-Sep-11	390.57	1
28-Sep-11	397.01	2
27-Sep-11	399.26	1
26-Sep-11	403.17	3
23-Sep-11	404.3	2
22-Sep-11	401.82	2
21-Sep-11	412.14	3
20-Sep-11	413.45	2
19-Sep-11	411.63	2
16-Sep-11	400.5	1
15-Sep-11	392.96	2
14-Sep-11	389.3	3
13-Sep-11	384.62	1
12-Sep-11	379.94	3
9-Sep-11	377.48	3
8-Sep-11	384.14	2
7-Sep-11	383.93	1
6-Sep-11	379.74	2
2-Sep-11	374.05	3
1-Sep-11	381.03	3
31-Aug-11	384.83	1
30-Aug-11	389.99	3
29-Aug-11	389.97	3
26-Aug-11	383.58	3
25-Aug-11	373.72	1
24-Aug-11	376.18	3
23-Aug-11	373.6	3
22-Aug-11	356.44	2
19-Aug-11	356.03	3
18-Aug-11	366.05	3
17-Aug-11	380.44	2
16-Aug-11	380.48	2
15-Aug-11	383.41	3
12-Aug-11	376.99	1
11-Aug-11	373.7	3
10-Aug-11	363.69	2
9-Aug-11	374.01	3
8-Aug-11	353.21	3
5-Aug-11	373.62	2
4-Aug-11	377.37	3
3-Aug-11	392.57	2
2-Aug-11	388.91	2
1-Aug-11	396.75	1
29-Jul-11	390.48	2
28-Jul-11	391.82	3
27-Jul-11	392.59	1
26-Jul-11	403.41	3
25-Jul-11	398.5	1
22-Jul-11	393.3	2
21-Jul-11	387.29	3
20-Jul-11	386.9	1
19-Jul-11	376.85	2
18-Jul-11	373.8	3
15-Jul-11	364.92	1
14-Jul-11	357.77	2
13-Jul-11	358.02	3
12-Jul-11	353.75	1
11-Jul-11	354.0	2
8-Jul-11	359.71	2
7-Jul-11	357.2	1
6-Jul-11	351.76	3
5-Jul-11	349.43	3
1-Jul-11	343.26	2
30-Jun-11	335.67	1
29-Jun-11	334.04	3
28-Jun-11	335.26	3
27-Jun-11	332.04	3
24-Jun-11	326.35	2
23-Jun-11	331.23	2
22-Jun-11	322.61	2
21-Jun-11	325.3	3
20-Jun-11	315.32	2
17-Jun-11	320.26	3
16-Jun-11	325.16	2
15-Jun-11	326.75	2
14-Jun-11	332.44	3
13-Jun-11	326.6	3
10-Jun-11	325.9	1
9-Jun-11	331.49	1
8-Jun-11	332.24	1
7-Jun-11	332.04	3
6-Jun-11	338.04	3
3-Jun-11	343.44	1
2-Jun-11	346.1	2
1-Jun-11	345.51	3
31-May-11	347.83	3
27-May-11	337.41	1
26-May-11	335.0	3
25-May-11	336.78	3
24-May-11	332.19	2
23-May-11	334.4	3
